@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
236,87,76,1,160,0.006211,0.533742,0.988636,0.533742,0.011364,0.693227,0.271605,1.965142,0.984975
237,86,77,1,160,0.006211,0.527607,0.988506,0.527607,0.011494,0.688,0.268519,1.964883,0.985171
238,85,78,1,160,0.006211,0.521472,0.988372,0.521472,0.011628,0.682731,0.265432,1.964617,0.987525
239,84,79,1,160,0.006211,0.515337,0.988235,0.515337,0.011765,0.677419,0.262346,1.964345,0.987967
240,83,80,1,160,0.006211,0.509202,0.988095,0.509202,0.011905,0.672065,0.259259,1.964067,0.98852
241,82,81,1,160,0.006211,0.503067,0.987952,0.503067,0.012048,0.666667,0.256173,1.963782,0.988986
242,81,82,1,160,0.006211,0.496933,0.987805,0.496933,0.012195,0.661224,0.253086,1.963489,0.989351
243,80,83,1,160,0.006211,0.490798,0.987654,0.490798,0.012346,0.655738,0.25,1.96319,0.989402
244,79,84,1,160,0.006211,0.484663,0.9875,0.484663,0.0125,0.650206,0.246914,1.962883,0.989635
245,79,84,0,161,0,0.484663,1,0.484663,0,0.652893,0.243827,1.98773,0.989711
246,78,85,0,161,0,0.478528,1,0.478528,0,0.647303,0.240741,1.98773,0.990368
247,77,86,0,161,0,0.472393,1,0.472393,0,0.641667,0.237654,1.98773,0.991046
248,76,87,0,161,0,0.466258,1,0.466258,0,0.635983,0.234568,1.98773,0.991476
249,75,88,0,161,0,0.460123,1,0.460123,0,0.630252,0.231481,1.98773,0.992452
250,74,89,0,161,0,0.453988,1,0.453988,0,0.624473,0.228395,1.98773,0.992769
251,73,90,0,161,0,0.447853,1,0.447853,0,0.618644,0.225309,1.98773,0.993435
252,72,91,0,161,0,0.441718,1,0.441718,0,0.612766,0.222222,1.98773,0.994364
253,71,92,0,161,0,0.435583,1,0.435583,0,0.606838,0.219136,1.98773,0.995462
254,70,93,0,161,0,0.429448,1,0.429448,0,0.600858,0.216049,1.98773,0.995549
255,69,94,0,161,0,0.423313,1,0.423313,0,0.594828,0.212963,1.98773,0.995621
256,68,95,0,161,0,0.417178,1,0.417178,0,0.588745,0.209877,1.98773,0.995655
257,67,96,0,161,0,0.411043,1,0.411043,0,0.582609,0.20679,1.98773,0.99571
258,66,97,0,161,0,0.404908,1,0.404908,0,0.576419,0.203704,1.98773,0.996185
259,65,98,0,161,0,0.398773,1,0.398773,0,0.570175,0.200617,1.98773,0.996383
260,64,99,0,161,0,0.392638,1,0.392638,0,0.563877,0.197531,1.98773,0.996541
261,63,100,0,161,0,0.386503,1,0.386503,0,0.557522,0.194444,1.98773,0.996553
262,62,101,0,161,0,0.380368,1,0.380368,0,0.551111,0.191358,1.98773,0.996703
263,61,102,0,161,0,0.374233,1,0.374233,0,0.544643,0.188272,1.98773,0.99705
264,60,103,0,161,0,0.368098,1,0.368098,0,0.538117,0.185185,1.98773,0.997322
265,59,104,0,161,0,0.361963,1,0.361963,0,0.531532,0.182099,1.98773,0.997531
266,58,105,0,161,0,0.355828,1,0.355828,0,0.524887,0.179012,1.98773,0.997722
267,57,106,0,161,0,0.349693,1,0.349693,0,0.518182,0.175926,1.98773,0.997741
268,56,107,0,161,0,0.343558,1,0.343558,0,0.511416,0.17284,1.98773,0.997785
269,55,108,0,161,0,0.337423,1,0.337423,0,0.504587,0.169753,1.98773,0.997828
270,54,109,0,161,0,0.331288,1,0.331288,0,0.497696,0.166667,1.98773,0.997997
271,53,110,0,161,0,0.325153,1,0.325153,0,0.490741,0.16358,1.98773,0.998148
272,52,111,0,161,0,0.319018,1,0.319018,0,0.483721,0.160494,1.98773,0.998164
273,51,112,0,161,0,0.312883,1,0.312883,0,0.476636,0.157407,1.98773,0.998329
274,50,113,0,161,0,0.306748,1,0.306748,0,0.469484,0.154321,1.98773,0.998395
275,49,114,0,161,0,0.300613,1,0.300613,0,0.462264,0.151235,1.98773,0.99841
276,48,115,0,161,0,0.294479,1,0.294479,0,0.454976,0.148148,1.98773,0.998479
277,47,116,0,161,0,0.288344,1,0.288344,0,0.447619,0.145062,1.98773,0.99868
278,46,117,0,161,0,0.282209,1,0.282209,0,0.440191,0.141975,1.98773,0.998723
279,45,118,0,161,0,0.276074,1,0.276074,0,0.432692,0.138889,1.98773,0.998751
280,44,119,0,161,0,0.269939,1,0.269939,0,0.425121,0.135802,1.98773,0.998787
281,43,120,0,161,0,0.263804,1,0.263804,0,0.417476,0.132716,1.98773,0.998797
282,42,121,0,161,0,0.257669,1,0.257669,0,0.409756,0.12963,1.98773,0.99886
283,41,122,0,161,0,0.251534,1,0.251534,0,0.401961,0.126543,1.98773,0.99917
284,40,123,0,161,0,0.245399,1,0.245399,0,0.394089,0.123457,1.98773,0.999279
285,39,124,0,161,0,0.239264,1,0.239264,0,0.386139,0.12037,1.98773,0.999309
286,38,125,0,161,0,0.233129,1,0.233129,0,0.378109,0.117284,1.98773,0.999441
287,37,126,0,161,0,0.226994,1,0.226994,0,0.37,0.114198,1.98773,0.999442
288,36,127,0,161,0,0.220859,1,0.220859,0,0.361809,0.111111,1.98773,0.999444
289,35,128,0,161,0,0.214724,1,0.214724,0,0.353535,0.108025,1.98773,0.99956
290,34,129,0,161,0,0.208589,1,0.208589,0,0.345178,0.104938,1.98773,0.999673
291,33,130,0,161,0,0.202454,1,0.202454,0,0.336735,0.101852,1.98773,0.999707
292,32,131,0,161,0,0.196319,1,0.196319,0,0.328205,0.098765,1.98773,0.999712
293,31,132,0,161,0,0.190184,1,0.190184,0,0.319588,0.095679,1.98773,0.999727
294,30,133,0,161,0,0.184049,1,0.184049,0,0.310881,0.092593,1.98773,0.99973
295,29,134,0,161,0,0.177914,1,0.177914,0,0.302083,0.089506,1.98773,0.999747
296,28,135,0,161,0,0.171779,1,0.171779,0,0.293194,0.08642,1.98773,0.999766
297,27,136,0,161,0,0.165644,1,0.165644,0,0.284211,0.083333,1.98773,0.999784
298,26,137,0,161,0,0.159509,1,0.159509,0,0.275132,0.080247,1.98773,0.999797
299,25,138,0,161,0,0.153374,1,0.153374,0,0.265957,0.07716,1.98773,0.999836
300,24,139,0,161,0,0.147239,1,0.147239,0,0.256684,0.074074,1.98773,0.99984
301,23,140,0,161,0,0.141104,1,0.141104,0,0.247312,0.070988,1.98773,0.999852
302,22,141,0,161,0,0.134969,1,0.134969,0,0.237838,0.067901,1.98773,0.999867
303,21,142,0,161,0,0.128834,1,0.128834,0,0.228261,0.064815,1.98773,0.999873
304,20,143,0,161,0,0.122699,1,0.122699,0,0.218579,0.061728,1.98773,0.999882
305,19,144,0,161,0,0.116564,1,0.116564,0,0.208791,0.058642,1.98773,0.999889
306,18,145,0,161,0,0.110429,1,0.110429,0,0.198895,0.055556,1.98773,0.99991
307,17,146,0,161,0,0.104294,1,0.104294,0,0.188889,0.052469,1.98773,0.999914
308,16,147,0,161,0,0.09816,1,0.09816,0,0.178771,0.049383,1.98773,0.999948
309,15,148,0,161,0,0.092025,1,0.092025,0,0.168539,0.046296,1.98773,0.999951
310,14,149,0,161,0,0.08589,1,0.08589,0,0.158192,0.04321,1.98773,0.999963
311,13,150,0,161,0,0.079755,1,0.079755,0,0.147727,0.040123,1.98773,0.999964
312,12,151,0,161,0,0.07362,1,0.07362,0,0.137143,0.037037,1.98773,0.999967
313,11,152,0,161,0,0.067485,1,0.067485,0,0.126437,0.033951,1.98773,0.999968
314,10,153,0,161,0,0.06135,1,0.06135,0,0.115607,0.030864,1.98773,0.999981
315,9,154,0,161,0,0.055215,1,0.055215,0,0.104651,0.027778,1.98773,0.999989
316,8,155,0,161,0,0.04908,1,0.04908,0,0.093567,0.024691,1.98773,0.99999
317,7,156,0,161,0,0.042945,1,0.042945,0,0.082353,0.021605,1.98773,0.999993
318,6,157,0,161,0,0.03681,1,0.03681,0,0.071006,0.018519,1.98773,0.999993
319,5,158,0,161,0,0.030675,1,0.030675,0,0.059524,0.015432,1.98773,0.999994
320,4,159,0,161,0,0.02454,1,0.02454,0,0.047904,0.012346,1.98773,0.999994
321,3,160,0,161,0,0.018405,1,0.018405,0,0.036145,0.009259,1.98773,0.999996
322,2,161,0,161,0,0.01227,1,0.01227,0,0.024242,0.006173,1.98773,0.999999
323,1,162,0,161,0,0.006135,1,0.006135,0,0.012195,0.003086,?,0.999999
324,0,163,0,161,0,0,?,0,?,?,0,?,1.000009
